         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1374    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
     1109    0.000    0.000    0.000    0.000 base.py:5126(_values)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.dtypes_all_equal}
      379    0.000    0.000    0.000    0.000 indexing.py:966(_validate_key_length)
      379    0.000    0.000    0.000    0.000 managers.py:230(is_single_block)
      375    0.000    0.000    0.000    0.000 base.py:830(_reset_identity)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      765    0.000    0.000    0.000    0.000 flags.py:57(allows_duplicate_labels)
      379    0.000    0.000    0.000    0.000 common.py:338(is_full_slice)
       33    0.000    0.000    0.000    0.000 inspect.py:896(getfile)
      396    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      379    0.000    0.000    0.000    0.000 blocks.py:342(should_store)
       42    0.000    0.000    0.000    0.000 utils.py:272(_is_ascii)
      765    0.000    0.000    0.000    0.000 generic.py:358(attrs)
       53    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
       63    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
      379    0.000    0.000    0.000    0.000 common.py:306(is_null_slice)
       30    0.000    0.000    0.000    0.000 std.py:102(acquire)
        4    0.000    0.000    0.000    0.000 range.py:234(_data)
        3    0.000    0.000    0.000    0.000 blocks.py:588(astype)
       39    0.000    0.000    0.000    0.000 std.py:400(format_interval)
        6    0.000    0.000    0.000    0.000 managers.py:540(copy)
       93    0.000    0.000    0.000    0.000 std.py:231(__call__)
        3    0.000    0.000    0.000    0.000 readers.py:1782(__exit__)
      379    0.000    0.000    0.000    0.000 indexing.py:150(iloc)
        6    0.000    0.000    0.000    0.000 generic.py:5509(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        3    0.000    0.000    0.000    0.000 readers.py:1450(close)
       21    0.000    0.000    0.000    0.000 std.py:1447(format_dict)
      379    0.000    0.000    0.000    0.000 common.py:318(is_empty_slice)
        5    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.000    0.000 common.py:121(close)
        3    0.000    0.000    0.000    0.000 base.py:5609(identical)
