         595871778 function calls (595868930 primitive calls) in 260.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 common.py:538(infer_compression)
       12    0.000    0.000    0.000    0.000 std.py:113(__exit__)
      510    0.000    0.000    0.000    0.000 contextlib.py:431(__enter__)
        6    0.000    0.000    0.000    0.000 common.py:1194(is_potential_multi_index)
        9    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
      247    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 generic.py:760(_set_axis)
        3    0.000    0.000    0.000    0.000 missing.py:466(array_equivalent)
       10    0.000    0.000    0.000    0.000 managers.py:2212(<lambda>)
      285    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 std.py:685(<setcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        3    0.000    0.000    0.000    0.000 nanops.py:482(nanany)
        9    0.000    0.000    0.000    0.000 base.py:648(_simple_new)
       13    0.000    0.000    0.000    0.000 blocks.py:2317(maybe_coerce_values)
        6    0.000    0.000    0.000    0.000 common.py:1155(_is_binary_mode)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
        5    0.000    0.000    0.000    0.000 blocks.py:198(_consolidate_key)
       47    0.000    0.000    0.000    0.000 managers.py:2124(_grouping_func)
        4    0.000    0.000    0.000    0.000 blocks.py:2375(new_block_2d)
       65    0.000    0.000    0.000    0.000 construction.py:419(extract_array)
        6    0.000    0.000    0.000    0.000 common.py:233(stringify_path)
      244    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.000    0.000 common.py:145(is_url)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 missing.py:564(_array_equivalent_object)
       20    0.000    0.000    0.000    0.000 blocks.py:2346(get_block_type)
        9    0.000    0.000    0.000    0.000 inference.py:273(is_dict_like)
       11    0.000    0.000    0.000    0.000 _dtype.py:330(_name_includes_bit_suffix)
       62    0.000    0.000    0.000    0.000 construction.py:712(_sanitize_str_dtypes)
        9    0.000    0.000    0.000    0.000 series.py:703(name)
        3    0.000    0.000    0.000    0.000 common.py:1223(dedup_names)
        3    0.000    0.000    0.000    0.000 managers.py:1726(is_consolidated)
        3    0.000    0.000    0.000    0.000 _methods.py:54(_any)
        3    0.000    0.000    0.000    0.000 base_parser.py:190(_validate_parse_dates_presence)
        8    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
       47    0.000    0.000    0.000    0.000 base_parser.py:1369(_get_na_values)
        9    0.000    0.000    0.000    0.000 blocks.py:2388(new_block)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        3    0.000    0.000    0.000    0.000 base_parser.py:361(_make_index)
        3    0.000    0.000    0.000    0.000 parse.py:365(urlparse)
        3    0.000    0.000    0.000    0.000 managers.py:1734(_consolidate_check)
        9    0.000    0.000    0.000    0.000 common.py:173(_expand_user)
        3    0.000    0.000    0.000    0.000 utils.py:212(__init__)
      238    0.000    0.000    0.000    0.000 std.py:163(colour)
        8    0.000    0.000    0.000    0.000 blocks.py:639(copy)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
       62    0.000    0.000    0.000    0.000 construction.py:732(_maybe_repeat)
        3    0.000    0.000    0.000    0.000 common.py:618(is_integer_dtype)
        3    0.000    0.000    0.000    0.000 cast.py:1359(np_find_common_type)
        9    0.000    0.000    0.000    0.000 managers.py:225(set_axis)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       20    0.000    0.000    0.000    0.000 base.py:5126(_values)
        3    0.000    0.000    0.000    0.000 std.py:441(status_printer)
        3    0.000    0.000    0.000    0.000 cast.py:761(infer_dtype_from)
        3    0.000    0.000    0.000    0.000 missing.py:305(_isna_string_dtype)
        3    0.000    0.000    0.000    0.000 base_parser.py:349(_maybe_make_multi_index_columns)
        3    0.000    0.000    0.000    0.000 blocks.py:247(make_block)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
       53    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
        3    0.000    0.000    0.000    0.000 utils.py:265(_supports_unicode)
        9    0.000    0.000    0.000    0.000 common.py:1562(validate_all_hashable)
        1    0.000    0.000    0.000    0.000 managers.py:1740(<listcomp>)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
