         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      990    0.000    0.000    0.000    0.000 base.py:6611(_maybe_cast_indexer)
        3    0.000    0.000    0.000    0.000 cast.py:1275(find_result_type)
      490    0.000    0.000    0.000    0.000 blocks.py:654(_maybe_copy)
      874    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
        3    0.000    0.000    0.000    0.000 generic.py:6553(copy)
        3    0.000    0.000    0.000    0.000 base.py:5609(identical)
        3    0.000    0.000    0.000    0.000 python_parser.py:298(_exclude_implicit_index)
        3    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
        3    0.000    0.000    0.000    0.000 python_parser.py:180(_make_reader)
      489    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.000    0.000 _asarray.py:22(require)
        3    0.000    0.000    0.000    0.000 db_hamming.py:100(<listcomp>)
       47    0.000    0.000    0.000    0.000 common.py:521(is_string_dtype)
        3    0.000    0.000    0.000    0.000 range.py:134(__new__)
        4    0.000    0.000    0.000    0.000 base.py:841(_engine)
        3    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
        3    0.000    0.000    0.000    0.000 base_parser.py:114(__init__)
      496    0.000    0.000    0.000    0.000 managers.py:335(<dictcomp>)
        4    0.000    0.000    0.000    0.000 std.py:113(__exit__)
      490    0.000    0.000    0.000    0.000 contextlib.py:428(__init__)
        3    0.000    0.000    0.000    0.000 base.py:5518(equals)
        9    0.000    0.000    0.000    0.000 config.py:271(__call__)
       56    0.000    0.000    0.000    0.000 common.py:1425(_is_dtype_type)
        5    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
      490    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
        3    0.000    0.000    0.000    0.000 python_parser.py:918(_get_index_name)
      506    0.000    0.000    0.000    0.000 generic.py:358(attrs)
        3    0.000    0.000    0.000    0.000 readers.py:1455(_get_options_with_defaults)
      506    0.000    0.000    0.000    0.000 flags.py:57(allows_duplicate_labels)
        9    0.000    0.000    0.000    0.000 config.py:145(_get_option)
        3    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
       47    0.000    0.000    0.000    0.000 managers.py:2124(_grouping_func)
      165    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 series.py:6131(any)
        6    0.000    0.000    0.000    0.000 generic.py:487(_validate_dtype)
       30    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        9    0.000    0.000    0.000    0.000 common.py:1587(pandas_dtype)
        3    0.000    0.000    0.000    0.000 cast.py:1400(find_common_type)
       11    0.000    0.000    0.000    0.000 _dtype.py:344(_name_get)
